"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","spi","DE"
"SL1344_3131",-3.42677756666363,8.48059501611215,470.145168512474,2.45207483280645e-08,1.52239698794295e-06,"yghA","-","Attenuated"
"SL1344_1331",4.85943527277409,9.78374804767032,465.014804013719,2.55930865307597e-08,1.52239698794295e-06,"sseA","SPI-2","Amplified"
"SL1344_3542",-5.34740577701013,9.03680062377842,462.849296054566,2.60633174269101e-08,1.52239698794295e-06,"tcp","-","Attenuated"
"SL1344_1784",-7.25077288503714,9.11915693528923,461.742735946909,2.63077804773965e-08,1.52239698794295e-06,"sopE2","SPI-1","Attenuated"
"SL1344_1563",3.77389676055883,8.11740561152677,461.580908439289,2.63437719916137e-08,1.52239698794295e-06,"STM1633",NA,"Amplified"
"SL1344_0584",5.31045924333801,6.68744032935691,461.053892886671,2.64614120381533e-08,1.52239698794295e-06,"entE","-","Amplified"
"SL1344_1287",3.57442692260105,6.69135012278895,461.02775623708,2.64672633508857e-08,1.52239698794295e-06,"ydiR","-","Amplified"
"SL1344_0003",3.32162172088102,9.3019720523643,453.201639415659,2.82947086724595e-08,1.60409973560255e-06,"thrB","-","Amplified"
"RyeF",4.43306545973584,7.73404227864013,450.404444809954,2.89860292211068e-08,1.60409973560255e-06,"RyeF","-","Amplified"
"SL1344_0583",5.89452238890128,6.53434036522479,450.336058741148,2.90031941068611e-08,1.60409973560255e-06,"entC","-","Amplified"
"SL1344_1524",-3.63300712502296,6.66380333616756,448.765111330743,2.94010304513545e-08,1.60551956160941e-06,"srfA","-","Attenuated"
"SL1344_2842",7.3459025991505,9.75741127516221,445.828840771389,3.0163131100201e-08,1.62088053663895e-06,"sitB","SPI-1","Amplified"
"SL1344_2869",-6.54007585149542,8.27308064370395,444.808350645498,3.04337791997577e-08,1.62088053663895e-06,"spaP","SPI-1","Attenuated"
"SL1344_3081",-4.5020540235136,8.79762298179365,441.238687188873,3.14047590206751e-08,1.63279590183778e-06,"ansB","-","Attenuated"
"SL1344_1654",7.64265779811697,9.54976037071615,441.203656663714,3.14144784080983e-08,1.63279590183778e-06,"trpE","-","Amplified"
"SL1344_3566",-3.23414854665328,6.89119202462132,438.684752760779,3.21233465173489e-08,1.64264515884247e-06,"STM3601",NA,"Attenuated"
"SL1344_0576",6.51462143532321,9.19584104944894,437.840130758495,3.23655165743185e-08,1.64264515884247e-06,"entF","-","Amplified"
"SL1344_1477",3.35558114505912,9.09759252033372,436.30268350224,3.28122325157953e-08,1.64595315201327e-06,"STM1548",NA,"Amplified"
"SL1344_1111",-4.62398916539443,8.20841759864467,433.866600661959,3.35359854916334e-08,1.64716820752761e-06,"flgB","-","Attenuated"
"SL1344_2862",-7.32568008416412,9.99251795020118,433.398352071074,3.36773841611247e-08,1.64716820752761e-06,"sipD","SPI-1","Attenuated"
"SL1344_1235",-3.95178483131542,7.58156878490524,431.253628038247,3.43346600112572e-08,1.64716820752761e-06,"STM1300",NA,"Attenuated"
"SL1344_0770",6.28305801136725,7.4817772430137,430.536507859442,3.45580085589338e-08,1.64716820752761e-06,"bioA","-","Amplified"
"SL1344_1905",-3.30610440194687,7.96940168396901,429.938821971282,3.47455509701003e-08,1.64716820752761e-06,"fliM","-","Attenuated"
"SL1344_1903",-4.87397949584051,7.26625345437744,427.332025905062,3.55785765717185e-08,1.66832586228689e-06,"fliK","-","Attenuated"
"STnc3870",4.74704810656543,9.17390072536032,425.744238446201,3.60982438062857e-08,1.67449272882061e-06,"STnc3870","-","Amplified"
"SL1344_4273",-4.82943286119049,11.0733894973908,423.57700866144,3.68229991535744e-08,1.68994062072894e-06,"ecnB",NA,"Attenuated"
"SL1344_2763",4.50514415235509,11.898191094847,416.133871263221,3.94550886360805e-08,1.79167634080054e-06,"pipB2","SPI-2","Amplified"
"SL1344_2924",-6.21574155863727,8.63570396346284,412.479257748424,4.08337067218977e-08,1.83496469581528e-06,"sopD","-","Attenuated"
"SL1344_1499",-2.85505219952014,6.7342961220026,406.828887564731,4.30861451780933e-08,1.91622299276592e-06,"fdnH","-","Attenuated"
"SL1344_1305",3.97985419368447,7.54107715919036,405.12426672259,4.37960626715894e-08,1.92792055474731e-06,"sufC","-","Amplified"
"SL1344_2761",4.56168474338997,5.89875628464973,401.539589175859,4.53374013308157e-08,1.97561160950646e-06,"iroE","-","Amplified"
"SL1344_1307",4.31806568216985,8.06245987233908,399.825000871466,4.60986533311278e-08,1.98869590470485e-06,"sufS","-","Amplified"
